date,zone,site,plot,pit,spp,sex,rcap,toe_num,SV_length,total_length,weight,tail,pc
9/27/89,M,RABB,A,15,UTST,F,N,404,37,104,3,W,0
9/27/89,M,RABB,C,15,UTST,F,N,355,35,98,3,W,0
9/27/89,M,WELL,B,1,UTST,F,N,405,36,105,3,W,0
9/27/89,M,WELL,B,5,UTST,F,N,411,34,85,3,W,0
9/27/89,M,WELL,B,6,UTST,F,N,410,32,74,2,B,0
9/27/89,M,WELL,B,15,UTST,F,N,412,33,96,3,W,0
9/27/89,M,WELL,B,15,UTST,F,N,413,35,97,3,W,0
9/27/89,T,EAST,B,2,UTST,M,N,350,49,124,6,B,0
9/27/89,T,EAST,B,3,UTST,F,N,351,38,112,4,W,0
9/27/89,T,EAST,B,5,UTST,F,N,352,41,109,4,W,0
9/27/89,T,EAST,B,7,UTST,J,N,353,32,84,3,W,0
9/27/89,T,EAST,B,8,UTST,M,N,354,47,130,5,W,0
9/27/89,T,EAST,B,15,UTST,J,N,NA,23,46,1,W,0
9/27/89,T,WEST,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
10/5/89,C,CALI,A,8,UTST,M,N,440,50,134,3,W,0
10/5/89,C,CALI,A,14,UTST,M,N,441,49,139,5,W,0
10/5/89,C,CALI,A,15,UTST,F,N,442,39,100,3,W,0
10/5/89,C,GRAV,D,6,UTST,F,N,434,37,96,1,W,0
10/5/89,C,GRAV,D,9,UTST,F,N,435,41,111,1,W,0
10/5/89,C,SAND,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
10/5/89,C,SAND,C,7,UTST,M,R,452,43,118,5,W,0
10/5/89,C,SAND,C,8,UTST,F,N,443,37,113,2,W,0
10/5/89,C,SAND,C,12,UTST,M,N,444,49,131,6,W,0
10/5/89,C,SAND,C,16,UTST,M,N,445,26,70,1,W,0
10/5/89,C,SAND,C,16,UTST,M,R,431,40,102,3,W,0
10/5/89,G,BASN,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
10/5/89,G,IBPE,A,9,UTST,F,N,504,46,104,4,B,0
10/5/89,G,IBPE,A,10,UTST,F,N,NA,33,90,NA,W,1
10/5/89,G,IBPE,A,10,UTST,F,N,505,39,104,3,W,0
10/5/89,G,IBPE,A,11,UTST,M,N,NA,36,69,NA,W,1
10/5/89,G,IBPE,C,4,UTST,F,N,450,36,90,1,W,0
10/5/89,G,IBPE,C,8,UTST,M,N,451,45,119,2,W,0
10/5/89,G,IBPE,C,10,UTST,J,N,501,22,60,1,W,0
10/5/89,G,IBPE,C,10,UTST,F,N,502,41,117,2,W,0
10/5/89,G,IBPE,C,15,UTST,F,N,503,38,89,1,B,0
10/5/89,M,RABB,A,4,UTST,M,R,99,53,140,4,W,1
10/5/89,M,RABB,A,14,UTST,F,R,422,47,120,3,W,0
10/5/89,M,RABB,A,16,UTST,F,N,522,44,74,2,B,0
10/5/89,M,RABB,C,4,UTST,M,N,523,41,107,2,W,0
10/5/89,M,RABB,C,7,UTST,M,N,524,41,112,3,W,0
10/5/89,M,RABB,C,8,CNTI,F,N,400,56,194,5,W,0
10/5/89,M,RABB,C,12,UTST,M,N,525,44,120,3,W,0
10/5/89,M,WELL,B,3,UTST,F,N,510,38,91,2,B,0
10/5/89,M,WELL,B,5,UTST,F,N,511,37,102,2,W,0
10/5/89,M,WELL,B,5,UTST,M,N,512,40,109,2,W,0
10/5/89,M,WELL,B,6,UTST,M,N,513,42,113,1,W,0
10/5/89,M,WELL,B,6,UTST,F,N,514,43,101,2,B,0
10/5/89,M,WELL,B,8,UTST,F,R,300,39,92,2,W,0
10/5/89,M,WELL,B,8,UTST,M,N,515,45,65,2,B,1
10/5/89,M,WELL,B,8,UTST,M,N,520,39,108,2,W,0
10/5/89,M,WELL,B,15,UTST,M,N,521,36,99,2,W,0
10/5/89,M,WELL,B,16,UTST,F,R,99,38,102,2,W,1
10/5/89,M,WELL,B,16,UTST,F,R,40,49,95,2,B,0
10/5/89,M,WELL,B,16,UTST,M,N,NA,42,116,NA,W,1
10/5/89,T,EAST,B,2,UTST,F,N,433,45,101,2,B,0
10/5/89,T,EAST,B,3,UTST,M,R,300,53,134,3,B,1
10/5/89,T,EAST,B,3,UTST,M,R,445,46,116,NA,W,0
10/5/89,T,EAST,B,4,UTST,F,R,1433,45,106,2,W,1
10/5/89,T,WEST,A,10,UTST,M,N,432,49,135,4,W,0
11/8/89,C,CALI,A,2,UTST,M,R,444,50,137,6,W,0
11/8/89,C,CALI,A,12,UTST,F,R,452,42,108,3,W,0
11/8/89,C,GRAV,D,7,UTST,M,R,434,41,105,4,W,0
11/8/89,C,SAND,B,4,UTST,M,N,530,52,143,7,W,0
11/8/89,C,SAND,B,8,UTST,J,N,531,32,83,2,W,0
11/8/89,C,SAND,C,13,UTST,M,R,445,51,135,7,W,0
11/8/89,G,BASN,B,13,UTST,F,N,532,36,97,5,W,0
11/8/89,G,IBPE,A,4,UTST,F,N,1002,39,116,2,W,0
11/8/89,G,IBPE,A,13,UTST,J,N,3000,38,110,2,W,0
11/8/89,G,IBPE,A,14,UTST,F,R,410,46,111,2,W,0
11/8/89,G,IBPE,C,3,UTST,F,N,535,47,130,4,W,0
11/8/89,G,IBPE,C,3,UTST,F,N,540,38,105,3,W,0
11/8/89,G,IBPE,C,3,UTST,M,N,541,46,123,4,W,0
11/8/89,G,IBPE,C,5,UTST,M,N,533,46,122,3,W,0
11/8/89,G,IBPE,C,5,UTST,M,N,534,45,120,3,W,0
11/8/89,G,IBPE,C,6,UTST,M,N,99,44,116,3,W,1
11/8/89,G,IBPE,C,7,UTST,F,R,420,46,100,2,B,0
11/8/89,G,IBPE,C,7,UTST,M,R,214,53,135,5,W,0
11/8/89,G,IBPE,C,7,UTST,F,N,545,42,111,3,W,0
11/8/89,G,IBPE,C,7,UTST,J,N,550,21,55,1,B,0
11/8/89,G,IBPE,C,8,UTST,F,R,451,48,124,4,W,0
11/8/89,G,IBPE,C,11,UTST,F,N,554,38,105,2,W,0
11/8/89,G,IBPE,C,12,UTST,J,N,1000,28,75,1,W,0
11/8/89,G,IBPE,C,12,UTST,F,N,1001,40,115,2,W,0
11/8/89,G,IBPE,C,13,UTST,F,N,555,38,105,2,W,0
11/8/89,G,IBPE,C,14,UTST,M,N,553,47,110,5,B,0
11/8/89,G,IBPE,C,15,UTST,F,N,552,45,113,3,W,0
11/8/89,G,IBPE,C,16,UTST,F,N,551,39,70,3,B,0
11/8/89,M,RABB,A,1,UTST,F,N,1032,37,100,2,W,0
11/8/89,M,RABB,A,1,UTST,M,N,1033,46,127,3,W,0
11/8/89,M,RABB,A,4,UTST,M,N,1025,44,117,3,W,0
11/8/89,M,RABB,A,6,UTST,F,N,1030,41,109,3,W,0
11/8/89,M,RABB,A,7,UTST,F,N,1035,42,110,2,W,0
11/8/89,M,RABB,A,8,UTST,F,N,1031,33,42,2,B,0
11/8/89,M,RABB,A,10,UTST,M,N,1034,49,126,4,B,1
11/8/89,M,RABB,A,10,UTST,M,R,99,52,143,4,W,0
11/8/89,M,RABB,A,12,UTST,F,N,1040,43,75,2,B,0
11/8/89,M,RABB,C,1,UTST,F,N,1021,41,110,2,W,0
11/8/89,M,RABB,C,3,UTST,F,N,1023,43,112,3,W,0
11/8/89,M,RABB,C,8,UTST,F,N,1022,41,115,3,W,0
11/8/89,M,RABB,C,16,UTST,F,N,1024,41,116,3,W,0
11/8/89,M,WELL,B,2,UTST,F,N,1004,39,105,2,W,0
11/8/89,M,WELL,B,2,UTST,F,N,1005,27,75,1,W,0
11/8/89,M,WELL,B,4,UTST,F,N,1004,40,108,3,W,0
